galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.021,0.07,0.63,0.7210000000000001,1591735979,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591741482,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1591824255,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1591825124,2.91,9.71,87.38
0.00999,0.0333,0.2997,0.34299,1591825124,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591847229,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1591894464,2.91,9.71,87.38
0.075,0.25,2.25,2.575,1591895515,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1591902972,2.91,9.71,87.38
0.219,0.73,6.57,7.519,1591914419,2.91,9.71,87.38
0.0054,0.018,0.162,0.18539999999999998,1591938443,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1592029010,2.91,9.71,87.38
0.01185,0.0395,0.3555,0.40684999999999993,1592055701,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1592062131,2.91,9.71,87.38
0.0195,0.065,0.585,0.6695,1592149197,2.91,9.71,87.38
0.0393203883495,0.131067961165,1.179611650485,1.3499999999995,1592150624,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1592159905,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1592165378,2.91,9.71,87.38
0.15,0.5,4.5,5.15,1592167048,2.91,9.71,87.38
0.0117,0.039,0.351,0.40169999999999995,1592214198,2.91,9.71,87.38
0.0639,0.213,1.917,2.1939,1592241164,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1592267725,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1592362144,2.91,9.71,87.38
0.013752,0.04584,0.41256,0.47215199999999996,1592373495,2.91,9.71,87.38
0.21,0.7,6.3,7.21,1592539656,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1592582228,2.91,9.71,87.38
0.0675,0.225,2.025,2.3175,1592593004,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1592601491,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1592667724,2.91,9.71,87.38
0.0204,0.068,0.612,0.7003999999999999,1592795766,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1592803558,2.91,9.71,87.38
0.21,0.7,6.3,7.21,1592858248,2.91,9.71,87.38
0.0255,0.085,0.765,0.8755,1592858465,2.91,9.71,87.38
0.033,0.11,0.99,1.133,1592865505,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1592879459,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1592920668,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1592940948,2.91,9.71,87.38
0.00348,0.0116,0.1044,0.11948,1592967157,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1592970872,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1592971179,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1592971182,2.91,9.71,87.38
0.0036,0.012,0.108,0.1236,1592973400,2.91,9.71,87.38
0.0375,0.125,1.125,1.2875,1593036633,2.91,9.71,87.38
0.0297,0.099,0.891,1.0197,1593111713,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1593147333,2.91,9.71,87.38
0.039,0.13,1.17,1.339,1593166113,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1593332559,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1593350935,2.91,9.71,87.38
0.00396,0.0132,0.1188,0.13596,1593405052,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1593445455,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1593513594,2.91,9.71,87.38
0.0264,0.088,0.792,0.9064,1593566693,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1593583037,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1593643966,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1593644488,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1593644641,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1593645113,2.91,9.71,87.38
0.043686,0.14562,1.31058,1.499886,1593645113,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1593645197,2.91,9.71,87.38
0.054,0.18,1.62,1.854,1593645242,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1593661466,2.91,9.71,87.38
0.0582,0.194,1.746,1.9982,1593667552,2.91,9.71,87.38
0.043686,0.14562,1.31058,1.499886,1593671924,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1593690280,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1593695466,2.91,9.71,87.38
0.0135,0.045,0.405,0.4635,1593714390,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1593818786,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1593820922,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1593872239,2.91,9.71,87.38
0.0375,0.125,1.125,1.2875,1593891557,2.91,9.71,87.38
0.057,0.19,1.71,1.9569999999999999,1593897464,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1593913266,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1593973129,2.91,9.71,87.38
0.0108,0.036,0.324,0.37079999999999996,1593989465,2.91,9.71,87.38
