galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
0.09,0.425,0.515,1590148760,17.48,82.52
0.027,0.1275,0.1545,1590159074,17.48,82.52
0.0225,0.10625,0.12875,1590159152,17.48,82.52
0.045,0.2125,0.2575,1590172762,17.48,82.52
0.216,1.02,1.236,1590178398,17.48,82.52
0.225,1.0625,1.2875,1590179623,17.48,82.52
0.135,0.6375,0.7725,1590179816,17.48,82.52
0.135,0.6375,0.7725,1590179816,17.48,82.52
0.1485,0.70125,0.84975,1590184496,17.48,82.52
0.63,2.975,3.605,1590186648,17.48,82.52
0.234,1.105,1.339,1590196979,17.48,82.52
0.063,0.2975,0.3605,1590199338,17.48,82.52
0.045,0.2125,0.2575,1590207894,17.48,82.52
0.18,0.85,1.03,1590217719,17.48,82.52
0.054,0.255,0.309,1590241180,17.48,82.52
0.036,0.17,0.20600000000000002,1590249402,17.48,82.52
0.045,0.2125,0.2575,1590249402,17.48,82.52
0.036,0.17,0.20600000000000002,1590270619,17.48,82.52
0.0216,0.102,0.1236,1590275176,17.48,82.52
0.036,0.17,0.20600000000000002,1590278828,17.48,82.52
0.072,0.34,0.412,1590302221,17.48,82.52
0.018,0.085,0.10300000000000001,1590335303,17.48,82.52
0.09,0.425,0.515,1590336275,17.48,82.52
0.063,0.2975,0.3605,1590336298,17.48,82.52
0.225,1.0625,1.2875,1590339516,17.48,82.52
0.36,1.7,2.06,1590349243,17.48,82.52
1.161,5.4825,6.6434999999999995,1590350427,17.48,82.52
0.054,0.255,0.309,1590351722,17.48,82.52
0.108,0.51,0.618,1590352388,17.48,82.52
0.27,1.275,1.545,1590353131,17.48,82.52
0.018,0.085,0.10300000000000001,1590355711,17.48,82.52
0.45,2.125,2.575,1590360110,17.48,82.52
0.09,0.425,0.515,1590360864,17.48,82.52
0.09,0.425,0.515,1590363849,17.48,82.52
0.279,1.3175,1.5964999999999998,1590368729,17.48,82.52
0.495,2.3375,2.8325,1590372381,17.48,82.52
0.054,0.255,0.309,1590380588,17.48,82.52
0.009,0.0425,0.051500000000000004,1590387775,17.48,82.52
0.72,3.4,4.12,1590398078,17.48,82.52
0.126,0.595,0.721,1590408398,17.48,82.52
0.045,0.2125,0.2575,1590411349,17.48,82.52
0.072,0.34,0.41200000000000003,1590411580,17.48,82.52
0.162,0.765,0.927,1590419641,17.48,82.52
0.225,1.0625,1.2875,1590419641,17.48,82.52
0.045,0.2125,0.2575,1590424350,17.48,82.52
0.018,0.085,0.10300000000000001,1590425615,17.48,82.52
0.54,2.55,3.09,1590426495,17.48,82.52
0.54,2.55,3.09,1590437556,17.48,82.52
0.18,0.85,1.03,1590438581,17.48,82.52
1.44,6.8,8.24,1590438901,17.48,82.52
0.18,0.85,1.03,1590441815,17.48,82.52
0.0216,0.102,0.1236,1590464825,17.48,82.52
0.27,1.275,1.545,1590472073,17.48,82.52
0.054,0.255,0.309,1590487234,17.48,82.52
0.144,0.68,0.8240000000000001,1590499726,17.48,82.52
0.0576,0.272,0.3296,1590504133,17.48,82.52
0.54,2.55,3.09,1590506595,17.48,82.52
0.0792,0.374,0.4532,1590517676,17.48,82.52
2.286,10.795,13.081,1590519345,17.48,82.52
0.0108,0.051,0.061799999999999994,1590519538,17.48,82.52
0.009,0.0425,0.051500000000000004,1590519538,17.48,82.52
0.0099,0.04675,0.05665,1590519842,17.48,82.52
0.054,0.255,0.309,1590521452,17.48,82.52
3.6,17.0,20.6,1590526808,17.48,82.52
0.018,0.085,0.10300000000000001,1590541039,17.48,82.52
0.1098,0.5185,0.6283,1590551543,17.48,82.52
0.0576,0.272,0.3296,1590565612,17.48,82.52
0.2178,1.0285,1.2463,1590565612,17.48,82.52
0.216,1.02,1.236,1590573988,17.48,82.52
0.036,0.17,0.20600000000000002,1590576113,17.48,82.52
0.018,0.085,0.10300000000000001,1590576480,17.48,82.52
0.018,0.085,0.10300000000000001,1590576915,17.48,82.52
0.018,0.085,0.10300000000000001,1590577574,17.48,82.52
0.09,0.425,0.515,1590580302,17.48,82.52
0.3168,1.496,1.8128,1590581570,17.48,82.52
0.009,0.0425,0.051500000000000004,1590581988,17.48,82.52
0.0108,0.051,0.061799999999999994,1590588224,17.48,82.52
0.135,0.6375,0.7725,1590590358,17.48,82.52
0.09,0.425,0.515,1590591134,17.48,82.52
0.18,0.85,1.03,1590602036,17.48,82.52
0.36,1.7,2.06,1590602342,17.48,82.52
0.693,3.2725,3.9655,1590608107,17.48,82.52
0.02592,0.1224,0.14832,1590617638,17.48,82.52
0.018,0.085,0.10300000000000001,1590619857,17.48,82.52
0.018,0.085,0.10300000000000001,1590621137,17.48,82.52
0.018,0.085,0.10300000000000001,1590621176,17.48,82.52
0.018,0.085,0.10300000000000001,1590621192,17.48,82.52
0.018,0.085,0.10300000000000001,1590621234,17.48,82.52
0.018,0.085,0.10300000000000001,1590621594,17.48,82.52
0.09,0.425,0.515,1590624885,17.48,82.52
0.018,0.085,0.10300000000000001,1590663788,17.48,82.52
0.027,0.1275,0.1545,1590663788,17.48,82.52
0.0252,0.119,0.1442,1590685541,17.48,82.52
0.054,0.255,0.309,1590687555,17.48,82.52
0.0216,0.102,0.12359999999999999,1590690186,17.48,82.52
0.1098,0.5185,0.6283,1590695962,17.48,82.52
0.342,1.615,1.957,1590698944,17.48,82.52
0.0396,0.187,0.2266,1590705537,17.48,82.52
0.36,1.7,2.06,1590710954,17.48,82.52
0.144,0.68,0.8240000000000001,1590713494,17.48,82.52
0.081,0.3825,0.4635,1590725163,17.48,82.52
0.027,0.1275,0.1545,1590744761,17.48,82.52
0.144,0.68,0.8240000000000001,1590746327,17.48,82.52
0.00945,0.044625,0.054075,1590747952,17.48,82.52
0.036,0.17,0.20600000000000002,1590748349,17.48,82.52
0.36,1.7,2.06,1590752703,17.48,82.52
1.26,5.95,7.21,1590765637,17.48,82.52
0.072,0.34,0.41200000000000003,1590776983,17.48,82.52
0.09,0.425,0.515,1590781975,17.48,82.52
0.072,0.34,0.41200000000000003,1590785968,17.48,82.52
0.018,0.085,0.10300000000000001,1590789308,17.48,82.52
0.054,0.255,0.309,1590794106,17.48,82.52
0.09,0.425,0.515,1590795365,17.48,82.52
0.054,0.255,0.309,1590809013,17.48,82.52
0.72,3.4,4.12,1590810829,17.48,82.52
0.054,0.255,0.309,1590811484,17.48,82.52
0.0666,0.3145,0.3811,1590811484,17.48,82.52
0.045,0.2125,0.2575,1590815824,17.48,82.52
0.09,0.425,0.515,1590819767,17.48,82.52
0.09,0.425,0.515,1590821130,17.48,82.52
0.027,0.1275,0.1545,1590824668,17.48,82.52
0.36,1.7,2.06,1590836322,17.48,82.52
0.09,0.425,0.515,1590841809,17.48,82.52
0.0126,0.0595,0.0721,1590845398,17.48,82.52
0.09,0.425,0.515,1590852886,17.48,82.52
0.108,0.51,0.618,1590853015,17.48,82.52
0.18,0.85,1.03,1590861318,17.48,82.52
0.18,0.85,1.03,1590869348,17.48,82.52
0.045,0.2125,0.2575,1590873133,17.48,82.52
0.0198,0.0935,0.1133,1590874238,17.48,82.52
0.0216,0.102,0.12359999999999999,1590880603,17.48,82.52
1.26,5.95,7.21,1590895286,17.48,82.52
0.18,0.85,1.03,1590923047,17.48,82.52
0.18,0.85,1.03,1590923047,17.48,82.52
0.18,0.85,1.03,1590923121,17.48,82.52
0.27,1.275,1.545,1590924745,17.48,82.52
0.036,0.17,0.20600000000000002,1590932978,17.48,82.52
0.0756,0.357,0.4326,1590934068,17.48,82.52
0.0441,0.20825,0.25234999999999996,1590955576,17.48,82.52
0.045,0.2125,0.2575,1590956390,17.48,82.52
0.054,0.255,0.309,1590959226,17.48,82.52
0.036,0.17,0.20600000000000002,1590965409,17.48,82.52
0.18,0.85,1.03,1590983162,17.48,82.52
0.0072,0.034,0.0412,1590985992,17.48,82.52
1.5984,7.548,9.1464,1590990824,17.48,82.52
0.0135,0.06375,0.07725,1591008511,17.48,82.52
0.063,0.2975,0.3605,1591016846,17.48,82.52
0.063,0.2975,0.3605,1591016863,17.48,82.52
1.1214,5.2955,6.4169,1591019299,17.48,82.52
0.18,0.85,1.03,1591021130,17.48,82.52
0.1188,0.561,0.6798000000000001,1591026496,17.48,82.52
0.045,0.2125,0.2575,1591027792,17.48,82.52
1.188,5.61,6.798,1591029395,17.48,82.52
0.144,0.68,0.8240000000000001,1591029626,17.48,82.52
0.54,2.55,3.09,1591033534,17.48,82.52
0.09,0.425,0.515,1591055153,17.48,82.52
0.081,0.3825,0.4635,1591055153,17.48,82.52
0.54,2.55,3.09,1591056179,17.48,82.52
0.126,0.595,0.721,1591056214,17.48,82.52
0.9,4.25,5.15,1591063288,17.48,82.52
0.126,0.595,0.721,1591076543,17.48,82.52
0.05328,0.2516,0.30488,1591077755,17.48,82.52
0.216,1.02,1.236,1591088872,17.48,82.52
0.072,0.34,0.41200000000000003,1591089638,17.48,82.52
0.0396,0.187,0.2266,1591094111,17.48,82.52
0.27,1.275,1.545,1591107041,17.48,82.52
0.3546,1.6745,2.0291,1591107199,17.48,82.52
0.0999,0.47175,0.57165,1591113816,17.48,82.52
0.09,0.425,0.515,1591113816,17.48,82.52
0.054,0.255,0.309,1591114460,17.48,82.52
0.9,4.25,5.15,1591115997,17.48,82.52
0.0135,0.06375,0.07725,1591116279,17.48,82.52
0.054,0.255,0.309,1591120686,17.48,82.52
0.045,0.2125,0.2575,1591121458,17.48,82.52
0.0135,0.06375,0.07725,1591130184,17.48,82.52
0.18,0.85,1.03,1591131603,17.48,82.52
0.19998,0.94435,1.14433,1591133748,17.48,82.52
0.1584,0.748,0.9064,1591139339,17.48,82.52
0.225,1.0625,1.2875,1591143008,17.48,82.52
0.036,0.17,0.20600000000000002,1591146036,17.48,82.52
0.06336,0.2992,0.36256,1591155580,17.48,82.52
0.0126,0.0595,0.0721,1591162085,17.48,82.52
0.0792,0.374,0.4532,1591162679,17.48,82.52
0.126,0.595,0.721,1591174640,17.48,82.52
0.18,0.85,1.03,1591180020,17.48,82.52
1.26,5.95,7.21,1591181731,17.48,82.52
0.81,3.825,4.635,1591182895,17.48,82.52
0.3492,1.649,1.9982,1591185050,17.48,82.52
0.018,0.085,0.10300000000000001,1591187972,17.48,82.52
0.72,3.4,4.12,1591188787,17.48,82.52
0.009,0.0425,0.051500000000000004,1591194702,17.48,82.52
0.27,1.275,1.545,1591194925,17.48,82.52
0.018,0.085,0.10300000000000001,1591195372,17.48,82.52
