royaltyFee,sellerFee,sale,timestamp,royaltyPerc,sellerPerc
0.3125,2.1875,2.5,1614729819,12.5,87.5
0.375,2.625,3.0,1613428680,12.5,87.5
0.09375,0.65625,0.75,1617126351,12.5,87.5
0.75,5.25,6.0,1614908582,12.5,87.5
1.25,8.75,10.0,1614407154,12.5,87.5
0.24875,1.74125,1.99,1616978316,12.5,87.5
0.25,1.75,2.0,1617113750,12.5,87.5
0.125,0.875,1.0,1615607643,12.5,87.5
0.025,0.175,0.2,1611732143,12.5,87.5
0.08125,0.56875,0.65,1612795491,12.5,87.5
0.15,1.05,1.2,1613539907,12.5,87.5
0.125,0.875,1.0,1612992876,12.5,87.5
0.2125,1.4875,1.7,1612399808,12.5,87.5
3.75,26.25,30.0,1616522513,12.5,87.5
0.1375,0.9625,1.1,1616407642,12.5,87.5
0.5625,3.9375,4.5,1617727686,12.5,87.5
0.09375,0.65625,0.75,1613968444,12.5,87.5
0.075,0.525,0.6,1616843200,12.5,87.5
1.25,8.75,10.0,1614215244,12.5,87.5
0.125,0.875,1.0,1613816222,12.5,87.5
0.375,2.625,3.0,1615520135,12.5,87.5
0.375,2.625,3.0,1614975793,12.5,87.5
0.1875,1.3125,1.5,1616520191,12.5,87.5
0.1375,0.9625,1.1,1614698202,12.5,87.5
0.075,0.525,0.6,1617109007,12.5,87.5
0.15,1.05,1.2,1616262116,12.5,87.5
0.0875,0.6125,0.7,1617290490,12.5,87.50000000000001
0.5,3.5,4.0,1616177455,12.5,87.5
0.125,0.875,1.0,1617378357,12.5,87.5
0.24875,1.74125,1.99,1616002516,12.5,87.5
0.375,2.625,3.0,1614587368,12.5,87.5
0.0875,0.6125,0.7,1614314935,12.5,87.50000000000001
2.8332,16.0548,18.888,1614270995,14.999999999999998,85.0
2.2332,12.6548,14.888,1614270995,15.0,85.0
0.10625,0.74375,0.85,1614473965,12.5,87.5
0.009,0.063,0.072,1616067663,12.5,87.5
0.0375,0.2625,0.3,1615046946,12.5,87.5
0.45,2.55,3.0,1616447806,15.0,84.99999999999999
0.042,0.238,0.28,1615274914,15.0,84.99999999999999
0.125,0.875,1.0,1617721131,12.5,87.5
0.125,0.875,1.0,1617760613,12.5,87.5
0.1125,0.7875,0.9,1616037748,12.5,87.5
0.0375,0.2625,0.3,1616521813,12.5,87.5
0.125,0.875,1.0,1615982404,12.5,87.5
0.75,5.25,6.0,1615677367,12.5,87.5
0.3125,2.1875,2.5,1617577847,12.5,87.5
0.05,0.35,0.4,1615138553,12.5,87.5
1.0625,7.4375,8.5,1617326403,12.5,87.5
0.03125,0.21875,0.25,1618073904,12.5,87.5
0.125,0.875,1.0,1618331485,12.5,87.5
0.0375,0.2625,0.3,1618054438,12.5,87.5
0.01625,0.11375,0.13,1617730511,12.5,87.5
0.0875,0.6125,0.7,1616265127,12.5,87.50000000000001
0.12125,0.84875,0.97,1616918516,12.5,87.5
0.045,0.315,0.36,1617643291,12.5,87.5
0.075,0.425,0.5,1616441504,15.0,85.0
0.0875,0.6125,0.7,1616530039,12.5,87.50000000000001
0.19461,1.10279,1.2974,1615409792,15.0,84.99999999999999
0.5,3.5,4.0,1615521050,12.5,87.5
0.25,1.75,2.0,1615395688,12.5,87.5
0.25,1.75,2.0,1615339472,12.5,87.5
0.225,1.275,1.5,1616441507,15.0,84.99999999999999
1.125,7.875,9.0,1616298294,12.5,87.5
0.6875,4.8125,5.5,1615672865,12.5,87.5
0.75,5.25,6.0,1615677486,12.5,87.5
0.15425,1.07975,1.234,1617522233,12.5,87.5
0.2375,1.6625,1.9,1616430492,12.5,87.5
0.0272325,0.1906275,0.21786,1618391867,12.500000000000002,87.5
1.5,10.5,12.0,1617333156,12.5,87.5
0.875,6.125,7.0,1617157190,12.5,87.5
0.24875,1.74125,1.99,1616770801,12.5,87.5
0.075,0.525,0.6,1617313593,12.5,87.5
0.1,0.7,0.8,1617408539,12.5,87.5
0.04332,0.24548,0.2888,1617924833,15.0,85.0
