galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
0.33,1.87,2.2,1598157882,15.0,85.0
0.06,0.34,0.4,1598043404,15.0,85.0
0.06,0.34,0.4,1598043404,15.0,85.0
0.15,0.85,1.0,1598054299,15.0,85.0
0.105,0.595,0.7,1598162584,15.0,85.0
0.15,0.85,1.0,1598180908,15.0,85.0
0.06,0.34,0.4,1598219435,15.0,85.0
0.0375,0.2125,0.25,1598229634,15.0,85.0
0.1125,0.6375,0.75,1598488116,15.0,85.0
0.0375,0.2125,0.25,1598496061,15.0,85.0
0.045,0.255,0.3,1598604561,15.0,85.0
0.045,0.255,0.3,1598640303,15.0,85.0
0.03,0.17,0.2,1598640542,15.0,85.0
0.0495,0.2805,0.33,1598661869,15.0,85.0
0.225,1.275,1.5,1599432067,15.0,85.0
0.75,4.25,5.0,1598663087,15.0,85.0
0.45,2.55,3.0,1598664508,15.0,85.0
0.45,2.55,3.0,1598664538,15.0,85.0
0.0225,0.1275,0.15,1598889015,15.0,85.0
0.45,2.55,3.0,1598806788,15.0,85.0
0.066,0.374,0.44,1598820232,15.0,85.0
0.1125,0.6375,0.75,1598809264,15.0,85.0
0.1125,0.6375,0.75,1598809429,15.0,85.0
0.09,0.51,0.6,1599073949,15.0,85.0
0.3031875,1.7180625,2.02125,1599565781,15.0,85.0
0.45,2.55,3.0,1599101398,15.0,85.0
0.15,0.85,1.0,1599136874,15.0,85.0
0.27,1.53,1.8,1599227761,15.0,85.0
0.27,1.53,1.8,1599227777,15.0,85.0
0.195,1.105,1.3,1599249105,15.0,85.0
0.45,2.55,3.0,1599273234,15.0,85.0
0.15,0.85,1.0,1599428989,15.0,85.0
0.075,0.425,0.5,1599400708,15.0,85.0
0.15,0.85,1.0,1599429009,15.0,85.0
0.225,1.275,1.5,1599432185,15.0,85.0
0.1275,0.7225,0.85,1612188971,15.0,85.0
1.5,8.5,10.0,1600798233,15.0,85.0
0.3,1.7,2.0,1599668948,15.0,85.0
0.045,0.255,0.3,1599610033,15.0,85.0
0.0625,0.4375,0.5,1604983048,12.5,87.5
0.2025,1.1475,1.35,1599710371,15.0,85.0
0.16665,0.94435,1.111,1599713160,15.0,85.0
0.195,1.105,1.3,1599731642,15.0,85.0
0.3225,1.8275,2.15,1599775048,15.0,85.0
0.27,1.53,1.8,1599775207,15.0,85.0
0.2325,1.3175,1.55,1599776453,15.0,85.0
0.025,0.175,0.2,1613844289,12.5,87.5
0.09,0.51,0.6,1599844705,15.0,85.0
0.09,0.51,0.6,1599841882,15.0,85.0
0.12,0.68,0.8,1599849251,15.0,85.0
0.01875,0.13125,0.15,1615763400,12.5,87.5
0.0495,0.2805,0.33,1599907089,15.0,85.0
0.45,2.55,3.0,1599882594,15.0,85.0
0.1875,1.3125,1.5,1609831186,12.5,87.5
0.0825,0.4675,0.55,1600086615,15.0,85.0
0.0825,0.4675,0.55,1600086615,15.0,85.0
0.075,0.425,0.5,1600086648,15.0,85.0
0.225,1.275,1.5,1599992173,15.0,85.0
0.225,1.275,1.5,1599992241,15.0,85.0
0.225,1.275,1.5,1599992283,15.0,85.0
0.225,1.275,1.5,1599992299,15.0,85.0
0.04425,0.25075,0.295,1600012764,15.0,85.0
0.0504,0.2856,0.336,1600012842,15.0,85.0
0.0825,0.4675,0.55,1600086648,15.0,85.0
0.0504,0.2856,0.336,1600012907,15.0,85.0
0.054,0.306,0.36,1600012941,15.0,85.0
0.04425,0.25075,0.295,1600012956,15.0,85.0
0.0825,0.4675,0.55,1600086615,15.0,85.0
0.04425,0.25075,0.295,1600013264,15.0,85.0
0.04425,0.25075,0.295,1600013264,15.0,85.0
0.04425,0.25075,0.295,1600014506,15.0,85.0
0.0975,0.5525,0.65,1600119329,15.0,85.0
0.045,0.255,0.3,1600189525,15.0,85.0
0.12,0.68,0.8,1600183021,15.0,85.0
0.3375,1.9125,2.25,1600222330,15.0,85.0
0.075,0.425,0.5,1600195406,15.0,85.0
0.045,0.255,0.3,1602577295,15.0,85.0
0.375,2.125,2.5,1600420813,15.0,85.0
0.0825,0.4675,0.55,1600223537,15.0,85.0
0.0825,0.4675,0.55,1600223537,15.0,85.0
0.0495,0.2805,0.33,1600221167,15.0,85.0
0.0495,0.2805,0.33,1600221196,15.0,85.0
0.0495,0.2805,0.33,1600221256,15.0,85.0
0.0495,0.2805,0.33,1600221300,15.0,85.0
0.0495,0.2805,0.33,1600221327,15.0,85.0
0.0495,0.2805,0.33,1600221382,15.0,85.0
0.0495,0.2805,0.33,1600221448,15.0,85.0
0.0495,0.2805,0.33,1600221471,15.0,85.0
0.075,0.425,0.5,1600459605,15.0,85.0
0.15,0.85,1.0,1600353723,15.0,85.0
0.012,0.068,0.08,1600289420,15.0,85.0
0.225,1.275,1.5,1600302960,15.0,85.0
4.05,22.95,27.0,1600468147,15.0,85.0
0.09,0.51,0.6,1600375128,15.0,85.0
0.75,4.25,5.0,1600378077,15.0,85.0
0.625,4.375,5.0,1600464187,12.5,87.5
3.3,18.7,22.0,1600489626,15.0,85.0
3.3,18.7,22.0,1600489626,15.0,85.0
4.125,23.375,27.5,1600489633,15.0,85.0
6.0,34.0,40.0,1600491836,15.0,85.0
0.45,2.55,3.0,1600394378,15.0,85.0
0.3525,1.9975,2.35,1601341937,15.0,85.0
0.125,0.875,1.0,1600574908,12.5,87.5
0.015,0.085,0.1,1600459102,15.0,85.0
0.225,1.275,1.5,1600477879,15.0,85.0
0.45,2.55,3.0,1600598706,15.0,85.0
0.45,2.55,3.0,1600598715,15.0,85.0
0.45,2.55,3.0,1600600851,15.0,85.0
0.75,4.25,5.0,1600702900,15.0,85.0
0.525,2.975,3.5,1600783344,15.0,85.0
0.0375,0.2125,0.25,1600831198,15.0,85.0
0.09,0.51,0.6,1600848706,15.0,85.0
0.135,0.765,0.9,1600848706,15.0,85.0
0.12,0.68,0.8,1600848706,15.0,85.0
0.069,0.391,0.46,1600863897,15.0,85.0
0.12,0.68,0.8,1600867134,15.0,85.0
0.165,0.935,1.1,1600868083,15.0,85.0
0.135,0.765,0.9,1600868083,15.0,85.0
0.18,1.02,1.2,1600868083,15.0,85.0
0.135,0.765,0.9,1600868083,15.0,85.0
0.075,0.425,0.5,1600871595,15.0,85.0
0.15,0.85,1.0,1600874878,15.0,85.0
0.045,0.255,0.3,1600875252,15.0,85.0
0.09,0.51,0.6,1600878982,15.0,85.0
0.075,0.425,0.5,1600881278,15.0,85.0
0.135,0.765,0.9,1600886184,15.0,85.0
0.09015,0.51085,0.601,1600890636,15.0,85.0
0.09015,0.51085,0.601,1600890636,15.0,85.0
0.12,0.68,0.8,1601504909,15.0,85.0
0.4995,2.8305,3.33,1601272486,15.0,85.0
0.02625,0.14875,0.175,1600987128,15.0,85.0
0.45,2.55,3.0,1601069518,15.0,85.0
0.075,0.425,0.5,1602131482,15.0,85.0
0.15,0.85,1.0,1601321908,15.0,85.0
0.06,0.34,0.4,1602135623,15.0,85.0
0.075,0.425,0.5,1602134393,15.0,85.0
0.015,0.105,0.12,1609016259,12.5,87.5
0.75,4.25,5.0,1601178556,15.0,85.0
0.72,4.08,4.8,1601279564,15.0,85.0
0.432,2.448,2.88,1601465700,15.0,85.0
0.35175,1.99325,2.345,1601370776,15.0,85.0
0.09,0.51,0.6,1601197919,15.0,85.0
0.09,0.51,0.6,1601197919,15.0,85.0
0.15625,1.09375,1.25,1610315499,12.5,87.5
0.25,1.75,2.0,1604782458,12.5,87.5
0.45,2.55,3.0,1601256024,15.0,85.0
0.45,2.55,3.0,1601256042,15.0,85.0
0.45,2.55,3.0,1601256065,15.0,85.0
0.45,2.55,3.0,1601256073,15.0,85.0
